,온도,습도,풍속,풍향,조도,자외선,소음,진동,흑구온도,이산화질소,일산화탄소,이산화황,암모니아,황화수소,오존
OC3CL200154,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False
OC3CL200155,True,True,False,False,False,False,True,True,False,True,True,True,False,False,True
OC3CL200157,True,True,False,False,False,False,True,True,False,True,True,True,False,False,True
OC3CL200159,True,True,False,False,False,False,True,True,False,True,True,True,False,False,True
OC3CL200160,True,True,False,False,False,False,True,True,False,True,True,True,False,False,True
OC3CL200161,True,True,False,False,False,False,True,True,False,True,True,True,False,False,True
OC3CL200165,True,True,False,False,False,False,True,True,False,True,True,True,False,False,True
OC3CL200166,True,True,False,False,False,False,True,True,False,True,True,True,False,False,True
OC3CL200167,True,True,False,False,False,False,True,True,False,True,True,True,False,False,True
OC3CL200168,True,True,False,False,False,False,True,True,False,True,True,True,False,False,False
OC3CL200169,True,True,False,False,False,False,True,True,False,True,True,True,False,False,False
OC3CL200170,True,True,False,False,False,False,True,True,False,False,False,False,False,False,True
OC3CL200172,True,True,False,False,False,False,True,True,False,False,False,False,False,False,True
OC3CL200173,True,True,False,False,False,False,True,True,False,False,False,False,False,False,True
OC3CL200174,True,True,False,False,False,False,True,True,False,False,False,False,False,False,True
OC3CL200175,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200176,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200177,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200178,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200179,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200180,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200181,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200182,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200183,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200184,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200185,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200186,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False
OC3CL200187,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200188,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200189,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200190,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200191,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200192,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200193,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200201,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200202,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False
OC3CL200203,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200204,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False
OC3CL200206,True,True,False,False,False,False,True,False,False,True,True,True,True,True,True
OC3CL200209,True,True,False,False,False,False,True,False,False,True,True,True,True,True,False
OC3CL200210,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False
OC3CL200211,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200212,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200213,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200219,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200220,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200221,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200225,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200259,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True
OC3CL210099,True,True,False,False,True,True,True,True,False,True,True,True,False,False,True
OC3CL210100,False,False,False,False,True,True,True,True,False,True,True,True,False,False,True
OC3CL210101,True,True,False,False,True,True,True,True,False,True,True,True,False,False,True
OC3CL210102,True,True,False,False,True,True,True,True,False,True,True,True,False,False,True
OC3CL210103,True,True,False,False,True,True,True,True,False,True,True,True,False,False,True
OC3CL210104,True,True,False,False,True,True,True,True,False,True,True,True,False,False,True
OC3CL210105,True,True,False,False,True,True,True,True,False,True,True,True,False,False,True
OC3CL210106,True,True,False,False,True,True,True,True,False,True,True,True,False,False,True
OC3CL210107,True,True,False,False,True,True,True,True,False,True,True,True,False,False,True
OC3CL210108,True,True,False,False,True,True,True,True,False,True,True,True,False,False,True
OC3CL210109,True,True,False,False,True,True,True,True,False,True,True,True,False,False,True
OC3CL210110,True,True,False,False,True,True,True,True,False,True,True,True,False,False,True
OC3CL210111,True,True,False,False,True,True,True,True,False,True,True,True,False,False,True
OC3CL210112,True,True,False,False,True,True,True,True,False,True,True,True,False,False,True
OC3CL210113,True,True,False,False,True,True,True,True,False,True,True,True,False,False,True
OC3CL210114,True,True,False,False,True,True,True,True,False,True,True,True,False,False,True
OC3CL210115,True,True,False,False,True,True,True,True,False,True,True,True,False,False,True
OC3CL200323,True,True,False,False,True,True,True,True,False,True,True,True,False,False,True
V02Q1940053,True,True,False,False,True,True,True,True,False,False,False,False,False,False,True
V02Q1940057,True,True,False,False,True,True,True,True,False,False,False,False,False,False,True
V02Q1940061,True,True,False,False,True,True,True,True,False,False,False,False,False,False,True
V02Q1940072,True,True,False,False,True,True,True,True,False,False,False,False,False,False,True
V02Q1940074,True,True,False,False,True,True,True,True,False,False,False,False,False,False,True
V02Q1940075,True,True,False,False,True,True,True,True,False,False,False,False,False,False,True
V02Q1940076,True,True,False,False,True,True,True,True,False,False,False,False,False,False,True
V02Q1940077,True,True,False,False,True,True,True,True,False,False,False,False,False,False,True
V02Q1940090,True,True,False,False,True,True,True,True,False,False,False,False,False,False,True
V02Q1940091,True,True,False,False,True,True,True,True,False,False,False,False,False,False,True
